Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Soil pH,Relative Humidity,Environmental Condition
33.4,13.1,22.8,0,6.17,61.88,good
31.6,14.9,23,0,6.04,64.08,good
31,13.2,22.8,0,6.68,69.49,good
31.7,12.6,22.8,0,6.48,65.17,good
30.3,5.1,21,17.17,5.99,67.04,good
31.6,11,21.9,0,5.59,65.21,good
32.3,16.8,24.3,0.3,6.85,60.45,good
32.1,10.9,22.3,0,5.56,57.27,good
29.6,11.9,22.2,0,5.72,60.58,good
31.1,14.5,23.3,0,6.97,63.26,good
33.4,16.1,23.7,30,6.92,53.32,good
33.7,15.9,25.9,0,5.72,52.82,good
34.7,17.4,26.5,0,7.23,52.1,good
38.4,19.9,28.6,0,5.62,62.35,good
36.5,16.1,27.7,0,6.96,55.92,good
38.1,21.3,28.1,0,6.32,59.63,good
33,20.2,27.3,28.35,6.67,64.59,good
35.1,22.7,28.9,2,5.98,58.69,good
34.6,19.4,28.4,0,5.79,58.96,good
37.9,22.1,28.6,26,6.38,63.34,good
34.5,23.1,28.8,0,7.09,65.42,good
36.8,24.5,30,0,7.47,63.7,good
35.6,24.7,29.8,0,6.21,62.7,good
34.5,25.5,29.5,26.2,6.24,69.9,good
36.4,24.5,29.4,97.32,7.22,74.2,good
33.2,24.4,27.8,263.33,6,78.27,good
29.8,23.7,26.9,178.49,6.76,86.03,good
31.1,23.6,27.9,10.33,6,80,good
29.9,22.6,26.6,236.99,5.99,86.47,good
29.4,22.6,26,199.18,5.88,86.76,good
28.7,23.7,25.9,403.26,7.35,88.91,good
28.9,22.2,25.7,202.12,6.72,89.86,good
29.1,22.7,26.2,44.42,6.25,85.79,good
29.7,22.2,26.7,9.47,6.05,81.63,good
31,24.1,26.3,96.73,6.33,82.49,good
28.9,22.2,26,43.74,6.93,84.85,good
29.4,22.2,25.4,271,6.86,88.22,good
28.3,21.6,25.1,254.37,5.84,90.34,good
29.1,22.7,25.3,84.74,6.16,88.29,good
29.7,21.6,25.1,96.7,7.26,83.37,good
32.5,19.9,25.7,21.4,7.37,76.71,good
34.9,21.4,27.5,0,6.6,72.77,good
33.7,22.1,27.4,11.09,6.78,79.14,good
33,21.7,27,121.8,6.58,75.19,good
34.2,22.7,27.3,53.46,7.13,73.55,good
33.6,18.8,26.9,0,5.68,60.73,good
33.1,19,26.6,0,6.29,64.88,good
33.2,21.2,26.7,0.5,6.11,66.62,good
32.3,19.9,26.1,9,6.23,68.21,good
31.4,15,22.9,0,7.2,55.69,good
32.3,14,22.5,0,5.82,64.36,good
32.2,14.7,22.7,0,6.26,65.75,good
30.8,13.2,21.8,0,6.34,63.55,good
30.9,9.1,21.8,0,7.48,47.35,good
29.2,13.3,20.8,0,7.4,57.68,good
31.8,14.7,22.3,0,5.98,64.17,good
33.5,15.5,23.2,0,6.59,64.34,good
30.8,10.7,22.3,7.3,5.63,63.44,good
29.4,13.8,21.6,0,5.86,58.78,good
31.9,14.3,22.8,0,6.78,54.47,good
32.8,10.7,23.6,0,7.24,43.65,good
33.1,14.5,23.9,0,5.51,54.47,good
32.3,14,23.6,0,6.79,53.36,good
31,12.8,23.6,0,6.9,57.06,good
34.5,16.4,24.9,0,5.94,53.59,good
34.6,20.1,26.5,1,6.84,61.58,good
34,15.1,26.1,0,6.04,55.67,good
32.8,16.7,26,0,6.01,56.6,good
36,19.7,27.2,0,7.34,47.92,good
34.3,19.6,26.9,0,6,52.95,good
38.4,21.6,28.5,0,7.22,61.43,good
34.6,22.1,29.1,0.6,5.84,60.58,good
38.4,22.7,29.7,0,6.5,53.27,good
39.1,22.7,29.7,0,5.98,59.07,good
35.4,23.4,30,0,5.68,58.11,good
37.4,22.7,30.1,1,6.94,61.89,good
35.6,23.7,29.8,0,6.86,64.37,good
37.7,24.4,30.4,11,7.15,65.93,good
38.6,23.2,28.9,185.62,6.53,74.74,good
30.7,21.7,26.2,287.95,7.15,85.59,good
31.2,23.4,28.2,59.3,7.03,76.89,good
31.3,22.6,27.5,139.77,6.54,81.5,good
30.1,24.4,27.2,162.86,6.84,82.16,good
29.2,22.4,26.4,212.19,7.13,86.97,good
30.1,22.2,27.1,24.1,6.69,81.39,good
29.9,21.7,25.7,331.16,6.97,85.78,good
29.4,22.1,26.3,121.2,6.97,84.61,good
29.4,22.9,26.6,83.43,5.52,81.91,good
29.2,22.9,26.3,91.03,6.1,83.63,good
30.1,22.7,26.5,46.92,7.17,79.51,good
30.2,21.2,25.6,269.62,5.83,86.64,good
29.4,20.7,25.9,62.98,5.59,81.86,good
30.7,21.4,25.7,102.54,6.6,84.47,good
29.3,23.2,25.7,418.41,6.53,86.2,good
31.4,21.2,26.2,57,7.26,81.6,good
34.2,20.4,27.3,1.4,6.44,76.42,good
32.2,20.7,26.2,169.87,5.58,83.77,good
31.3,18.1,25.8,148.6,6.07,82.37,good
32.4,17.4,26.5,11.2,7.14,70.85,good
32.6,15.4,24.8,0,6.2,59.45,good
33.4,18.4,26.6,0.9,5.88,60.5,good
31.7,20.7,26.4,4.9,6.66,78.42,good
32.3,13.2,24,0,6.29,59.61,good
31.2,10.7,22,21,6.41,54.7,good
31.5,15.1,23.9,15,7.15,74.71,good
30.4,11.1,21.5,0,6.43,63.01,good
29.8,9.9,21.3,0,7.39,61.61,good
30.1,12.4,21.5,0,6.49,71.56,good
32.1,12.3,21.3,0,6.34,48.42,good
30.6,11.9,19.9,0,6.94,60.52,good
31.5,15.2,22.8,0,6.05,57.02,good
33.9,15.4,23.3,0,6.44,55.17,good
31.3,15.8,23,0,5.53,63.65,good
30.1,15.4,22.9,0,6.16,61.08,good
30.9,12.7,22.1,0,6.46,55.12,good
29.3,13.8,21.8,0,6.11,58.92,good
34.7,14.8,24,0,5.98,48.69,good
33.7,17.5,25.2,0,7.08,52.85,good
36.1,17.2,26.3,0,5.92,52.15,good
34.2,18.3,26.8,0,6.5,52.01,good
37.9,21.3,29.2,0,5.89,48.99,good
33,19.4,26.9,0,5.83,53.49,good
34.4,21.1,27.7,0,6.63,57.12,good
35.1,21.9,28.3,0,6.47,52.07,good
35.6,21.6,28.1,3,6.56,57.98,good
36.9,23,29,0,6.41,63.98,good
38.1,22.8,29.6,1,6.41,59,good
36.1,22.1,29.9,0.4,7.26,62.86,good
35.2,25.1,29.3,0,5.86,65.79,good
35.4,25.5,29.9,0,5.73,67.05,good
34.8,25.9,30,1.4,6.74,63.9,good
34.5,26.4,30.1,24,6.29,67.38,good
33.4,24.4,29,69.53,6.12,77.14,good
30.9,21.9,27.5,66.32,6.58,78.88,good
32.1,26.3,29,9.3,6.75,73.17,good
32.1,23.8,28.1,160.4,5.5,75.84,good
30.7,22.8,26.3,249.27,5.8,86.19,good
29.3,23.6,27,161.05,6.47,84.23,good
30.1,23.9,26.7,111.18,7.17,83.01,good
30.4,23.4,26.7,121.57,6.11,87.21,good
28.9,23.9,25.6,517.22,5.65,90.64,good
30.1,20.5,26,103.76,6.24,86.12,good
29.7,23.9,26.3,40.98,6.04,83.51,good
29.1,23.7,25.5,244.98,6.52,88.15,good
30.1,22.6,26.4,6.54,5.7,80.05,good
31.2,21.9,26.3,70.1,6.91,78.18,good
33.4,23.5,28,0,6.39,75.93,good
32.8,22.9,27.3,151.52,7.14,80.55,good
34.1,22.4,27.8,23.2,6.19,75.3,good
30.7,18.6,25.6,0,6.69,78.29,good
31.9,21,26.6,7.6,5.69,77.4,good
33.7,18.7,25.8,0,7.18,64.96,good
33.9,14.7,26,0,5.68,60.78,good
33.6,13.7,26,0,5.93,54.86,good
32.1,20.6,26.4,7,5.95,69.07,good
33.1,17.1,25.5,0,6.79,64.92,good
33.9,16.5,24.1,0,6.67,61.63,good
31.1,15.9,23.1,0,6.64,57.69,good
32.2,16.3,23.1,0,7.38,60.61,good
31.1,7.9,22.4,0,6.39,59.51,good
31.8,14.5,22.1,0,6.22,62.54,good
29.1,9.4,18.6,0,6.43,56.25,good
29,11.9,20.2,0,6.4,61.4,good
30.1,13.6,21.7,0,6.37,62.65,good
33.9,16.2,24.2,0,7.43,60.64,good
33.2,13.1,22.7,0,5.58,55.85,good
32.6,13.1,23.9,0,5.64,59.3,good
30.6,15.3,23.1,0,5.86,53.26,good
32.6,11.6,23.2,0,5.57,57.19,good
31.4,15.1,24.1,0,6.94,59.34,good
35.7,18,25,107,5.94,60.04,good
33.7,17.7,26,0,6.91,59.12,good
34.2,19.1,26.1,0,7.28,57.03,good
36.7,19.7,28.7,0.8,7.49,56.5,good
33.3,23,27.7,31.4,6.05,68.21,good
34.8,19.1,28.2,0,5.94,61.53,good
38.2,23.2,29.7,0,5.82,56.66,good
34.9,19.4,29.1,0,5.59,62.2,good
33.9,24.9,29.1,0,7.29,66.54,good
39.2,22.9,29.3,33,5.78,69.01,good
37.6,21.9,30.4,0.6,7.26,65.75,good
35.8,22.4,30.6,2,7.08,66.49,good
35.9,25.7,30.7,36.9,6.45,70.7,good
34.1,22.1,28.1,933.77,7.5,82.99,good
32.2,23.7,28.6,38.49,7.1,79.34,good
31.6,23.4,28.4,54.05,6.56,78.45,good
32,23.2,28.1,80.42,5.58,78.48,good
30.3,22.7,26.9,151.04,6.46,82.87,good
30.5,23,26.1,244.65,5.53,86.82,good
29.7,24.3,25.8,302.53,6.21,90.41,good
29.7,22.2,25.9,223.32,7.17,87.76,good
28.4,21.4,26.1,49.26,5.78,86.44,good
29.4,23.6,26,65.95,6.76,85.32,good
29.4,22.2,25.8,108.58,5.98,87.1,good
29.2,23.9,25.7,74.06,5.73,85.93,good
29.7,20.7,26,123.55,7.14,81.4,good
29.9,21.7,25.9,23.8,7.29,82.34,good
31,21.1,26.6,11.4,5.61,78.13,good
31.7,22.2,26.5,89.6,5.52,80.01,good
32.1,22.4,27.4,22,5.86,79.61,good
33.5,21.6,27.5,9,5.78,71.81,good
31.7,21.5,26.7,0,5.76,75.63,good
35.4,22.7,27.6,0,6.09,65.71,good
34.4,17.6,26.6,0,6.95,58.7,good
35.3,17.7,25.7,0,5.5,46.49,good
32.5,18.2,25.8,0,7.39,62,good
33.3,14.9,25.8,0.4,6.53,59.59,good
31.5,19.2,26.2,11.2,6.77,68.12,good
33.4,14.8,24.3,0,7.03,63.58,good
31.5,12.7,23.4,0,6.7,61.8,good
31.4,11.4,22.6,152,6.23,49.35,good
30.4,15.2,22.2,0,6.99,61.64,good
28.6,10.9,20,7.2,5.96,62.62,good
26.4,13.3,19.6,0,6.91,53.82,good
32.1,16.1,23.6,0,6.19,59.36,good
40.1,11.4,23.2,0,6.29,53.45,good
32.2,12.7,22.9,0,6.76,51.35,good
35.1,15.8,24,0,6.97,50.7,good
31.9,14.1,23.1,0,6.19,51.94,good
36.1,14.6,25.2,0,5.78,52,good
33,15.7,24.5,0,6.72,53.64,good
29.8,8.1,22,0,7.47,53.78,good
29.9,14.3,22.9,5.8,5.93,57.43,good
30.9,17.1,23.9,0,7.14,59.73,good
35.1,18.8,26.4,0,7.01,62.48,good
35.8,15.4,26.7,0,5.92,47.86,good
32.6,19.2,26.1,0,6.69,59.6,good
34.3,19.6,27.1,0,6.41,59.16,good
33.8,20.3,27.8,0,6.84,61.13,good
33.8,17.7,28.1,0,6.96,61.07,good
35.3,22.6,29.3,0,6.13,60.7,good
34.3,22.7,28.9,7,7.31,64.64,good
35.7,25.7,29.8,3.26,7.19,66.86,good
33.6,23.9,29.5,11.7,7.11,70.2,good
34.1,23.7,29.3,52.08,5.71,72.98,good
32.2,22.7,27.4,102.02,7.01,79.14,good
32.4,22.9,28,168.26,7.09,75.32,good
32.3,23.9,28.1,289.2,6.34,80.33,good
31.7,23.2,28.5,6.4,7.4,76.46,good
29.9,22.1,26.2,373.31,6.08,89.07,good
30.2,24.1,26.9,90.36,6.86,82.37,good
29.2,22.6,26.8,110.36,7.45,82.8,good
28.1,22.4,25.7,196.52,7.07,86.8,good
28.8,21.4,26.5,145.3,5.95,82.74,good
28.8,23.4,26.2,70.15,6.51,84.8,good
28.7,22.2,25.7,223.83,5.84,89.34,good
29.1,21.4,25.3,348.94,5.99,90.72,good
29.4,22.1,25.3,229.21,6.99,89.14,good
29.2,22.4,25.9,40.03,6.13,83.41,good
29.2,22.7,26,116.72,5.72,86.16,good
30.1,21.1,26.1,35.8,7.46,83.25,good
30.5,22,26.1,46,5.82,81.6,good
29.9,22.9,25.5,325.44,6.36,86.24,good
31.7,22.4,26.6,16.8,5.92,80.24,good
29.8,22.7,25.9,145.03,6.66,87.42,good
33.5,16.4,26.4,0,5.65,66.8,good
32.9,21,27,18.2,6.01,73.11,good
32.5,17.8,26.3,41.8,6.61,67.26,good
31.6,17.8,24.9,0,6.76,66.91,good
32.7,17.9,26.1,0.7,6.09,64.39,good
31.4,19,25.9,9.9,6.55,69.95,good
32.2,19.7,26.4,13,7.09,68.44,good
34.2,17.1,25.5,0,6.92,67.94,good
32.7,14.1,23.6,0,6.03,62.75,good
30.4,11.7,22.6,0,5.8,61.41,good
30.9,11.4,22.6,0,6.93,63.76,good
24,14.2,19.9,0,7.08,65.21,good
32.1,14.7,23.2,0,5.83,55.32,good
30.7,10.2,21.8,2,7.49,60.61,good
31.1,14.2,21.7,0,7.09,60.84,good
30.4,13.4,21.2,0,6.85,54.91,good
32.9,13.1,22.7,0,6.83,59.62,good
33.9,13.7,24.6,0,6.97,49.48,good
29.5,13.2,21.9,0,5.81,50.97,good
31.8,14.2,23.5,0,5.68,48.25,good
33.3,12.9,24.3,0,6.39,38.1,good
34.1,17.8,25.5,0,6.77,45.98,good
33.2,17.8,25.5,0,5.79,63.49,good
34.9,18.1,25.7,0,5.78,62.34,good
33.3,20.5,27.3,7.2,6.99,57.73,good
35.1,17.6,26.4,0,6.59,51.66,good
38.1,18.6,28,0,5.74,42.01,good
34.3,21.5,28.2,0,7.47,55.28,good
36,22.3,28.8,24.7,5.73,63.14,good
34.2,23.1,28.9,0,6.69,60.13,good
36,24.2,29.6,22.2,5.65,60.57,good
38.3,21.7,30,0,6.82,54.21,good
36.4,23.9,29.7,0,5.76,66.22,good
33.7,23,29.1,0,6.28,63.17,good
33.4,24.2,29.2,107,5.95,70.19,good
33.4,23.4,27.8,152.65,7.12,79.61,good
31,21.9,27.5,134.84,7.44,81.84,good
30.6,22.9,27.1,32.3,5.71,79.42,good
30,23.7,26.7,248.62,6.85,82.55,good
30.6,24,27.1,130.7,7.34,80.04,good
31.1,23,27.3,57.27,5.52,78.22,good
31.1,23.4,26.6,268.61,6.01,86.21,good
29.4,22.1,25.9,338.69,7.5,85.22,good
30.1,21.4,26.1,14.64,6.72,81.56,good
29,21.4,25.3,209.83,7.34,85.31,good
28.9,22.7,25.5,247.89,6.68,88.08,good
28,23.5,25.2,143.28,6.79,87.44,good
30.2,22.5,25.8,59.11,6.25,82.81,good
30.1,20.1,25.6,40.59,5.99,82.59,good
30.9,22.1,26.6,9.1,6.22,80.05,good
31.8,24.1,26.8,137.7,5.6,84.79,good
31.2,22.9,26.1,206.51,5.75,85.79,good
34.5,21.9,27.2,20,6.2,79.9,good
37.2,21.9,27.9,0,6.69,72.04,good
33.5,18.4,26.2,0,6.22,67.17,good
34.7,17.7,26.8,0,6.78,61.24,good
33.9,13.6,26.2,0,5.97,61.16,good
33.5,18.3,26.7,0,5.55,57.72,good
33.7,20.9,27.1,0,5.7,64.01,good
33.6,13.9,24.6,0,6.08,60.26,good
32.1,14.2,24.2,0,7.25,57.38,good
34.1,15.1,23.7,0,5.84,53.15,good
33.2,13.9,22.9,0,5.72,53.12,good
30.1,14.9,22.4,0,5.89,59.59,good
29.4,15.7,22.6,0.2,5.69,62.23,good
45.36658287,5.630735547,25.49865921,68.22763339,5.388891223,17.07597951,bad
40.74674996,4.095543861,22.42114691,57.06818219,4.744189859,1.187028076,bad
45.91209559,-2.25953653,21.82627953,7.803388252,4.193478049,65.85821524,bad
49.26756172,5.87942724,27.57349448,63.9011164,5.219368106,31.59203138,bad
47.26427835,-3.151768103,22.05625512,12.20937648,4.634459097,57.84296755,bad
46.38071462,5.353809757,25.86726219,39.51447471,5.379432169,48.68801818,bad
49.33528692,-0.597724047,24.36878144,46.06316296,5.082964832,33.5214491,bad
47.23633907,2.975780683,25.10605988,4.818008392,4.1371303,6.88619321,bad
40.20722668,2.639238409,21.42323255,13.10675125,5.041041304,53.10626129,bad
43.17169111,-2.026130044,20.57278054,50.41617724,4.106409675,54.24462254,bad
41.5678613,7.243711989,24.40578665,12.00164977,4.941996045,50.91117488,bad
41.15091146,2.211488764,21.68120011,74.63697471,4.635832065,17.72275382,bad
43.03973993,3.039603605,23.03967177,63.65035732,4.49610097,0.890070113,bad
38.16998624,-2.738959912,17.71551316,15.31363573,4.61315675,15.10444934,bad
36.66701963,4.573870763,20.6204452,16.9265796,4.232785776,32.49951114,bad
41.5968745,0.894679612,21.24577706,93.7339832,4.667169095,32.40461875,bad
47.02455702,0.908241471,23.96639925,74.7677201,4.963534419,29.51052086,bad
40.44964943,6.068839989,23.25924471,4.819848965,4.020476314,40.05203171,bad
42.86150266,4.678967572,23.77023512,28.36925571,4.863891947,36.7819242,bad
49.67263801,-6.100765416,21.78593629,45.15618135,5.26523561,3.882878856,bad
43.13732145,0.303200086,21.72026077,46.91386805,4.003880679,1.040669826,bad
37.83798951,-1.421376013,18.20830675,7.230157136,4.971143052,5.118783955,bad
37.14610689,-8.989464901,14.07832099,13.43091197,4.367707799,32.61012055,bad
47.3787956,-2.049840734,22.66447743,73.59028309,5.383919513,12.05588903,bad
36.77686229,-5.163056659,15.80690282,48.9061547,4.831572739,29.09919184,bad
36.84617092,-2.560113213,17.14302885,38.21677179,5.225763394,20.96143235,bad
40.31792034,2.087599155,21.20275975,71.50928173,4.452857129,44.07960876,bad
41.03384226,0.098585093,20.56621368,87.493855,4.328407934,23.61859041,bad
38.01925514,3.274182412,20.64671877,25.19672889,5.074633317,68.89868907,bad
42.90248909,2.564652386,22.73357074,33.39650472,5.30204467,2.240503757,bad
49.66608375,-1.654516211,24.00578377,8.632826477,4.033571251,30.69280602,bad
47.78790721,7.934759182,27.86133319,74.35479327,4.24097804,33.12974349,bad
38.33108184,2.10996124,20.22052154,83.13902305,4.228690218,6.981436398,bad
48.08901435,6.986143911,27.53757913,80.97135434,4.424544464,7.512980758,bad
48.78872922,-0.545493946,24.12161764,93.33161425,4.401862056,12.17187801,bad
39.26215457,-0.082844325,19.58965512,58.16037128,4.635893378,40.50710149,bad
40.60402109,-3.5000175,18.55200179,42.15767205,4.444668041,25.04295484,bad
42.33979137,-2.565908219,19.88694157,0.726515415,5.287214493,21.27333589,bad
42.58834299,7.561914515,25.07512875,40.10416798,4.568520527,18.74232934,bad
45.55491378,-5.055029334,20.24994222,13.00158759,5.227454555,60.03017286,bad
49.36701185,-0.622408006,24.37230192,38.71896745,4.842469422,11.45103433,bad
48.15032861,8.452642625,28.30148562,55.32634471,4.680204266,9.667315939,bad
36.28982625,-0.662230846,17.8137977,43.28976906,4.838001554,25.0047748,bad
41.62828084,-8.8428547,16.39271307,66.65382187,4.306010234,35.37631475,bad
42.63066032,-4.147945643,19.24135734,63.11184314,5.016786972,50.00815191,bad
40.74393006,4.202241945,22.473086,86.62061426,4.694640242,27.85900965,bad
47.71759421,8.76983916,28.24371669,8.856785881,5.087403528,27.00369292,bad
43.08255522,4.383661435,23.73310833,23.37455182,5.280801842,26.59837988,bad
45.25145574,4.207606849,24.7295313,70.72071297,4.391768194,44.63373872,bad
42.58652906,5.469582768,24.02805591,90.61276419,4.292534457,16.95690798,bad
42.60750959,3.167132806,22.8873212,96.38851305,4.582775099,28.79846099,bad
39.83777908,7.341557923,23.5896685,7.824155279,5.086473935,6.429592197,bad
49.31765141,-6.583102824,21.36727429,92.50307353,4.00709688,12.1771078,bad
48.00729045,2.406953923,25.20712219,44.96124424,4.225253813,16.28150397,bad
44.97283377,-0.946010877,22.01341144,85.41697732,4.354547628,6.706028576,bad
44.88902171,-1.984101872,21.45245992,89.71280985,5.201343848,47.91831237,bad
46.54490491,-3.022151505,21.7613767,34.93406886,4.548941655,39.73616101,bad
46.51213957,1.93875183,24.2254457,3.886468361,4.629289734,1.084673919,bad
38.62281312,-0.901336906,18.86073811,78.93840463,4.191150662,13.28217096,bad
45.82600763,-2.731244696,21.54738147,36.81692841,5.122409168,48.50127581,bad
38.98731849,-9.217557401,14.88488055,33.7588503,4.226366969,50.66328451,bad
37.02039405,1.429645773,19.22501991,12.23956681,4.680068403,8.389553643,bad
41.38221251,1.390223109,21.38621781,50.3823444,4.863311183,38.42351273,bad
44.11175297,-2.655149938,20.72830152,93.09169681,5.027065713,44.03308352,bad
43.62180539,-5.64740552,18.98719994,45.57815186,4.984472199,44.4246379,bad
46.0883391,2.723070865,24.40570498,20.56054188,5.137682685,16.48570211,bad
40.69693777,-4.69042071,18.00325853,43.37081987,4.343263744,57.41041258,bad
46.29875282,2.438109041,24.36843093,72.34328542,4.107327634,8.236151194,bad
37.7698935,6.533786651,22.15184007,18.51049962,5.171218687,30.73147417,bad
41.99637496,4.609050988,23.30271297,74.05838294,4.551406959,33.93589023,bad
46.50950601,-0.468456029,23.02052499,0.231365775,4.465529426,18.00627082,bad
42.30761515,4.472160011,23.38988758,52.24573659,5.100605187,56.51560309,bad
36.97279901,5.836742957,21.40477098,44.80055172,4.290543916,61.60910212,bad
46.71838561,3.227981369,24.97318349,55.66140242,4.945720654,50.85471589,bad
45.72614497,-3.387916068,21.16911445,19.47143492,4.331898761,0.697393425,bad
43.98420493,7.893842968,25.93902395,56.71732099,5.129354669,12.97894761,bad
43.8672813,-2.412100572,20.72759036,35.3202374,4.832250215,31.77045459,bad
40.88479833,-5.669123334,17.6078375,4.941727535,4.604323748,34.56827863,bad
42.26787544,-2.426305939,19.92078475,79.30403067,4.571061197,47.39179008,bad
41.87749282,-1.415175311,20.23115876,47.34904433,4.854422615,31.93254881,bad
38.82573376,-0.765760682,19.02998654,19.27838403,4.124504758,57.50838606,bad
46.79729366,1.219104588,24.00819912,76.35193928,4.920183511,2.823349137,bad
43.22694023,-8.812014229,17.207463,74.34216234,5.101936395,19.09502081,bad
49.98335276,-1.966428166,24.0084623,45.42139794,4.586160491,33.09030013,bad
42.64008086,2.358060925,22.49907089,25.3789399,4.696280674,67.39525206,bad
49.30253331,6.982537401,28.14253535,4.396763632,5.159594524,4.98842124,bad
42.68091641,1.170521571,21.92571899,97.19501694,4.606729839,13.44390347,bad
40.79097795,2.605063076,21.69802052,42.20397953,5.236196998,5.421914417,bad
37.03828443,-9.219781819,13.90925131,63.50363142,4.853871929,68.70118471,bad
43.5256452,-5.265577285,19.13003396,71.05696211,4.705304207,57.65459328,bad
38.67042835,-2.867422283,17.90150303,87.25938246,4.143869997,66.96511018,bad
42.57176384,8.502105408,25.53693463,12.22159231,4.562001812,60.30905255,bad
43.03345126,-7.45746376,17.78799375,50.63285638,5.275710738,19.00119586,bad
37.6257056,-0.173040825,18.72633239,51.79732724,4.588920121,36.52950638,bad
43.81335562,6.998269023,25.40581232,18.93839594,4.080329367,28.52671057,bad
48.07291973,5.107536132,26.59022793,2.162126899,4.260201388,63.29233187,bad
42.74084893,-9.793554779,16.47364707,26.91884108,5.047844104,24.90119968,bad
38.30175192,6.166218188,22.23398505,73.44990061,5.146570907,19.44704825,bad
39.94548939,-1.292937617,19.32627589,1.198934464,5.145330631,36.50696191,bad
36.01107189,-8.534817826,13.73812703,46.39849101,4.783739939,20.60792283,bad
46.15589322,2.794001444,24.47494733,70.38367544,5.221214662,6.041926594,bad
40.77081395,-0.134192866,20.31831054,39.70690743,4.447757097,56.46926307,bad
37.121527,2.131471381,19.62649919,8.024150633,5.025883808,48.04384979,bad
48.59024722,3.859927852,26.22508754,41.30767718,4.452090642,46.5411924,bad
37.24532581,8.614891046,22.93010843,1.660998422,4.088000444,50.57460353,bad
36.00562914,0.681725156,18.34367715,10.05058322,4.716079843,51.44888183,bad
38.11006872,-2.243004496,17.93353211,21.89372947,4.559827878,21.30267237,bad
48.73981504,6.559263047,27.64953904,49.84596871,5.016250512,51.72089365,bad
40.04650622,5.489463611,22.76798491,64.51186083,5.112743726,39.60712839,bad
38.8427501,0.355665771,19.59920793,15.54693222,4.772642196,50.4202852,bad
40.76695234,6.55972658,23.66333946,83.4186238,5.168744539,6.03304165,bad
39.97838753,7.520048955,23.74921824,64.06240725,4.479585581,11.04417539,bad
44.77941657,2.005264977,23.39234077,79.60437133,4.325242223,0.014892988,bad
46.55597777,7.487625169,27.02180147,81.26655298,4.624943028,22.50139729,bad
44.64783642,5.498189334,25.07301288,69.94637784,4.69438402,30.71877801,bad
45.11041648,8.338982125,26.7246993,17.012405,4.848183126,4.282650829,bad
41.88490862,-4.720584078,18.58216227,61.4521976,5.328524887,22.53478207,bad
36.02801972,-8.308869131,13.85957529,5.002119843,4.995965506,40.77923248,bad
42.62879167,2.13536507,22.38207837,65.76916748,4.548778659,39.76847255,bad
49.9201342,4.314918323,27.11752626,44.48476819,4.917186014,40.17539838,bad
37.71588737,-1.306542851,18.20467226,3.436005649,4.642701736,38.67044024,bad
36.02745743,4.251177757,20.13931759,76.61379868,4.091102145,23.37912036,bad
38.22716466,-7.114569372,15.55629764,52.98370484,4.057559135,1.791412648,bad
39.56968528,-8.489271604,15.54020684,80.76906195,4.456355837,54.89399944,bad
44.97127473,5.57752061,25.27439767,40.03048377,4.924579393,63.41234041,bad
48.05483271,4.363898172,26.20936544,71.9726092,4.902561857,10.90713703,bad
39.65557304,-7.774565179,15.94050393,72.36758954,5.113953675,25.02515421,bad
47.11982459,-3.216716278,21.95155416,90.74149335,4.473742511,2.313922634,bad
47.31467505,-2.146388556,22.58414325,67.46082843,4.974764024,26.26655043,bad
47.10960281,-6.700110913,20.20474595,74.54600188,4.272217849,7.606228563,bad
48.02754718,-6.29544007,20.86605355,40.97256275,5.35964184,35.56710178,bad
41.42604888,-9.385984287,16.0200323,46.16607492,4.38489312,43.6118327,bad
46.41188339,4.341409123,25.37664626,26.73006274,5.386741902,13.72228754,bad
42.80316449,3.003898406,22.90353145,19.82393326,4.540758273,60.71887104,bad
38.21291504,-5.017566086,16.59767448,91.54425414,4.075647905,49.68745922,bad
47.3061089,5.817764413,26.56193666,44.84697328,4.728018308,31.09773225,bad
49.79514021,-8.416801469,20.68916937,18.20149187,5.391452299,23.52439524,bad
41.4243107,-2.95074283,19.23678393,83.0342242,5.140995734,17.33829289,bad
48.22993495,7.228525798,27.72923037,49.14742246,4.524302652,46.2296011,bad
40.3779196,-8.983343797,15.6972879,66.05906273,5.104319706,62.78640467,bad
38.57402288,4.885135529,21.7295792,86.57393776,5.127684071,5.85054306,bad
46.20167997,-4.879564719,20.66105762,55.00675946,4.015852878,56.65162662,bad
41.81646338,-5.597656179,18.1094036,0.031981008,4.083019157,27.00409272,bad
49.00690602,5.498953808,27.25292992,56.50942423,5.232696992,59.77661743,bad
49.07019849,-0.04234415,24.51392717,41.52561956,4.445619187,55.38162696,bad
38.5747557,1.161387462,19.86807158,98.29602196,4.216873678,56.4070203,bad
39.63477467,0.453396061,20.04408537,15.97292001,5.250483718,50.93464366,bad
49.78432413,-3.736195419,23.02406435,2.703095523,5.267498589,57.3710196,bad
49.91891796,-6.788816559,21.5650507,23.7844235,4.863743088,61.85278622,bad
39.43855728,5.911859955,22.67520862,11.03346725,5.25483295,36.42080984,bad
37.44195079,0.974119195,19.20803499,15.67097219,4.339198101,56.335641,bad
38.12999062,-9.793845731,14.16807244,17.24842828,5.358119411,50.08052127,bad
41.89304449,-2.416174089,19.7384352,48.43228965,4.271362168,1.846985874,bad
41.54573802,-6.887125483,17.32930627,73.10395521,5.149868055,5.122766545,bad
36.04834168,-0.88967153,17.57933508,20.82171525,5.304810097,45.48686444,bad
